case_id,version,section,mpi_ranks,omp_threads,size,iters,elapsed_s,fom,energy,max_abs_diff,status,run_completed,warn_openfabrics,warn_ucx,warn_pmix,warn_orte,local_host,local_device,num_processors_seen,num_threads_seen
baseline_mpi_np1_t1_s20_i20_bindcore_20260504_061834,baseline,mpi,1,1,20,20,0.19,838.73807,1.297886e+06,1.309672e-10,PASS,yes,yes,no,no,no,node60,mlx5_0,1,1
baseline_mpi_np8_t1_s20_i20_bindcore_20260504_061834,baseline,mpi,8,1,20,20,0.2,6356.7835,1.038309e+07,9.313226e-10,PASS,yes,yes,no,no,no,node60,mlx5_0,8,1
kc_mpi_np1_t1_s20_i20_bindcore_20260504_061923,kc,mpi,1,1,20,20,0.19,852.34234,1.297886e+06,8.731149e-11,PASS,yes,yes,no,no,no,node60,mlx5_0,1,1
kc_mpi_np8_t1_s20_i20_bindcore_20260504_061923,kc,mpi,8,1,20,20,0.18,7145.8479,1.038309e+07,1.164153e-10,PASS,yes,yes,no,no,no,node60,mlx5_0,8,1
baseline_mpi_np27_t1_s20_i20_bindcore_20260504_054400,baseline,mpi,27,1,20,20,0.19,22369.529,3.504293e+07,9.313226e-10,PASS,yes,yes,no,no,no,node60,mlx5_0,27,1
kc_mpi_np27_t1_s20_i20_bindcore_20260504_054400,kc,mpi,27,1,20,20,0.16,27639.686,3.504293e+07,1.396984e-09,PASS,yes,yes,no,no,no,node60,mlx5_0,27,1
baseline_mpi_np1_t1_s40_i20_bindcore_20260504_062009,baseline,mpi,1,1,40,20,0.71,1809.5446,1.038309e+07,9.313226e-10,PASS,yes,yes,no,no,no,node60,mlx5_0,1,1
baseline_mpi_np8_t1_s40_i20_bindcore_20260504_062009,baseline,mpi,8,1,40,20,0.74,13878.429,8.306471e+07,2.793968e-09,PASS,yes,yes,no,no,no,node60,mlx5_0,8,1
kc_mpi_np1_t1_s40_i20_bindcore_20260504_062056,kc,mpi,1,1,40,20,0.64,1986.3439,1.038309e+07,1.164153e-10,PASS,yes,yes,no,no,no,node60,mlx5_0,1,1
kc_mpi_np8_t1_s40_i20_bindcore_20260504_062056,kc,mpi,8,1,40,20,0.64,15889.124,8.306471e+07,2.793968e-09,PASS,yes,yes,no,no,no,node60,mlx5_0,8,1
baseline_mpi_np27_t1_s40_i20_bindcore_20260504_062152,baseline,mpi,27,1,40,20,0.9,38255.817,2.803434e+08,1.862645e-08,PASS,yes,yes,no,no,no,node60,mlx5_0,27,1
kc_mpi_np27_t1_s40_i20_bindcore_20260504_062223,kc,mpi,27,1,40,20,0.77,44817.23,2.803434e+08,3.725290e-09,PASS,yes,yes,no,no,no,node60,mlx5_0,27,1
baseline_mpi_np1_t1_s80_i20_bindcore_20260504_062301,baseline,mpi,1,1,80,20,5.4,1894.4211,8.306471e+07,2.793968e-09,PASS,yes,yes,no,no,no,node60,mlx5_0,1,1
baseline_mpi_np8_t1_s80_i20_bindcore_20260504_062301,baseline,mpi,8,1,80,20,5.3,15380.666,6.645177e+08,1.490116e-08,PASS,yes,yes,no,no,no,node60,mlx5_0,8,1
kc_mpi_np1_t1_s80_i20_bindcore_20260504_062336,kc,mpi,1,1,80,20,4.88,2096.2773,8.306471e+07,2.793968e-09,PASS,yes,yes,no,no,no,node60,mlx5_0,1,1
kc_mpi_np8_t1_s80_i20_bindcore_20260504_062336,kc,mpi,8,1,80,20,4.85,16894.484,6.645177e+08,7.450581e-09,PASS,yes,yes,no,no,no,node60,mlx5_0,8,1
baseline_mpi_np27_t1_s80_i20_bindcore_20260504_062414,baseline,mpi,27,1,80,20,7.3,37833.469,2.242747e+09,2.980232e-08,PASS,yes,yes,no,no,no,node60,mlx5_0,27,1
kc_mpi_np27_t1_s80_i20_bindcore_20260504_062439,kc,mpi,27,1,80,20,6.11,45228.498,2.242747e+09,2.086163e-07,PASS,yes,yes,no,no,no,node60,mlx5_0,27,1
baseline_mpi_np64_t1_s80_i20_bindcore_20260504_064034,baseline,mpi,64,1,80,20,13,50410.153,5.316142e+09,2.980232e-07,PASS,yes,yes,no,no,no,node60,mlx5_0,64,1
kc_mpi_np64_t1_s80_i20_bindcore_20260504_063634,kc,mpi,64,1,80,20,10.77,60823.905,5.316142e+09,3.576279e-07,PASS,yes,yes,no,no,no,node60,mlx5_0,64,1
