case_id,version,section,size,mpi_ranks,omp_threads,iters,elapsed_s,fom,energy,status,run_completed,warn_openfabrics,local_host,num_processors_seen,num_threads_seen,report_dir
baseline_omp_np1_t1_s20_i20_bindcore_20260504_065038,baseline,omp,20,1,1,20,0.18,886.85567,1.297886e+06,PASS,yes,yes,node60,1,1,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b1-baseline-cluster-bindcore-secomp-verbaseline-s20-i20-omp1-2-4-8-15-20260504_065038
baseline_omp_np1_t2_s20_i20_bindcore_20260504_065038,baseline,omp,20,1,2,20,0.25,637.29108,1.297886e+06,PASS,yes,yes,node60,1,2,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b1-baseline-cluster-bindcore-secomp-verbaseline-s20-i20-omp1-2-4-8-15-20260504_065038
baseline_omp_np1_t4_s20_i20_bindcore_20260504_065038,baseline,omp,20,1,4,20,0.36,447.08316,1.297886e+06,PASS,yes,yes,node60,1,4,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b1-baseline-cluster-bindcore-secomp-verbaseline-s20-i20-omp1-2-4-8-15-20260504_065038
baseline_omp_np1_t8_s20_i20_bindcore_20260504_065038,baseline,omp,20,1,8,20,0.61,263.42123,1.297886e+06,PASS,yes,yes,node60,1,8,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b1-baseline-cluster-bindcore-secomp-verbaseline-s20-i20-omp1-2-4-8-15-20260504_065038
baseline_omp_np1_t15_s20_i20_bindcore_20260504_065038,baseline,omp,20,1,15,20,0.9,177.87407,1.297886e+06,PASS,yes,yes,node60,1,15,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b1-baseline-cluster-bindcore-secomp-verbaseline-s20-i20-omp1-2-4-8-15-20260504_065038
baseline_omp_np1_t20_s20_i20_bindcore_20260504_065141,baseline,omp,20,1,20,20,0.98,162.5211,1.297886e+06,PASS,yes,yes,node60,1,20,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b2-baseline-cluster-bindcore-secomp-verbaseline-s20-i20-omp20-24-28-29-30-20260504_065141
baseline_omp_np1_t24_s20_i20_bindcore_20260504_065141,baseline,omp,20,1,24,20,1.3,126.80303,1.297886e+06,PASS,yes,yes,node60,1,24,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b2-baseline-cluster-bindcore-secomp-verbaseline-s20-i20-omp20-24-28-29-30-20260504_065141
baseline_omp_np1_t28_s20_i20_bindcore_20260504_065141,baseline,omp,20,1,28,20,1.4,110.43051,1.297886e+06,PASS,yes,yes,node60,1,28,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b2-baseline-cluster-bindcore-secomp-verbaseline-s20-i20-omp20-24-28-29-30-20260504_065141
baseline_omp_np1_t29_s20_i20_bindcore_20260504_065141,baseline,omp,20,1,29,20,1.5,108.20985,1.297886e+06,PASS,yes,yes,node60,1,29,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b2-baseline-cluster-bindcore-secomp-verbaseline-s20-i20-omp20-24-28-29-30-20260504_065141
baseline_omp_np1_t30_s20_i20_bindcore_20260504_065141,baseline,omp,20,1,30,20,1.5,104.75113,1.297886e+06,PASS,yes,yes,node60,1,30,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b2-baseline-cluster-bindcore-secomp-verbaseline-s20-i20-omp20-24-28-29-30-20260504_065141
baseline_omp_np1_t31_s20_i20_bindcore_20260504_065302,baseline,omp,20,1,31,20,1.6,101.91783,1.297886e+06,PASS,yes,yes,node60,1,31,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b3-baseline-cluster-bindcore-secomp-verbaseline-s20-i20-omp31-32-36-40-20260504_065302
baseline_omp_np1_t32_s20_i20_bindcore_20260504_065302,baseline,omp,20,1,32,20,1.6,97.704462,1.297886e+06,PASS,yes,yes,node60,1,32,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b3-baseline-cluster-bindcore-secomp-verbaseline-s20-i20-omp31-32-36-40-20260504_065302
baseline_omp_np1_t36_s20_i20_bindcore_20260504_065302,baseline,omp,20,1,36,20,1.8,88.372787,1.297886e+06,PASS,yes,yes,node60,1,36,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b3-baseline-cluster-bindcore-secomp-verbaseline-s20-i20-omp31-32-36-40-20260504_065302
baseline_omp_np1_t40_s20_i20_bindcore_20260504_065302,baseline,omp,20,1,40,20,2,80.6622,1.297886e+06,PASS,yes,yes,node60,1,40,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b3-baseline-cluster-bindcore-secomp-verbaseline-s20-i20-omp31-32-36-40-20260504_065302
baseline_omp_np1_t58_s20_i20_bindcore_20260504_065407,baseline,omp,20,1,58,20,2.6,60.472256,1.297886e+06,PASS,yes,yes,node60,1,58,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b4-baseline-cluster-bindcore-secomp-verbaseline-s20-i20-omp58-59-60-61-62-20260504_065407
baseline_omp_np1_t59_s20_i20_bindcore_20260504_065407,baseline,omp,20,1,59,20,2.8,56.924099,1.297886e+06,PASS,yes,yes,node60,1,59,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b4-baseline-cluster-bindcore-secomp-verbaseline-s20-i20-omp58-59-60-61-62-20260504_065407
baseline_omp_np1_t60_s20_i20_bindcore_20260504_065407,baseline,omp,20,1,60,20,2.9,55.708341,1.297886e+06,PASS,yes,yes,node60,1,60,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b4-baseline-cluster-bindcore-secomp-verbaseline-s20-i20-omp58-59-60-61-62-20260504_065407
baseline_omp_np1_t61_s20_i20_bindcore_20260504_065407,baseline,omp,20,1,61,20,2.9,54.904198,1.297886e+06,PASS,yes,yes,node60,1,61,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b4-baseline-cluster-bindcore-secomp-verbaseline-s20-i20-omp58-59-60-61-62-20260504_065407
baseline_omp_np1_t62_s20_i20_bindcore_20260504_065407,baseline,omp,20,1,62,20,3,52.888863,1.297886e+06,PASS,yes,yes,node60,1,62,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b4-baseline-cluster-bindcore-secomp-verbaseline-s20-i20-omp58-59-60-61-62-20260504_065407
