case_id,version,section,mpi_ranks,omp_threads,size,iters,elapsed_s,fom,energy,max_abs_diff,status,run_completed,warn_openfabrics,warn_ucx,warn_pmix,warn_orte,local_host,local_device,num_processors_seen,num_threads_seen
baseline_hybrid_np1_t96_s120_i20_20260504_003327,baseline,hybrid,1,96,120,20,28,1231.5621,2.803434e+08,3.725290e-09,PASS,yes,yes,no,no,no,node60,mlx5_0,1,96
kc_hybrid_np1_t96_s120_i20_20260504_003327,kc,hybrid,1,96,120,20,17.80,1941.1203,2.803434e+08,3.725290e-09,PASS,yes,yes,no,no,no,node217,mlx5_0,1,96
baseline_hybrid_np27_t1_s120_i20_20260504_005707,baseline,hybrid,27,1,120,20,3.2e+02,2955.5959,7.569272e+09,5.960464e-07,PASS,yes,yes,no,no,no,node60,mlx5_0,27,1
kc_hybrid_np27_t1_s120_i20_20260504_005707,kc,hybrid,27,1,120,20,252.07,3701.7702,7.569272e+09,3.576279e-07,PASS,yes,yes,no,no,no,node60,mlx5_0,27,1
baseline_hybrid_np27_t2_s120_i20_20260504_011254,baseline,hybrid,27,2,120,20,4.4e+02,2138.0411,7.569272e+09,3.576279e-07,PASS,yes,yes,no,no,no,node60,mlx5_0,27,2
kc_hybrid_np27_t2_s120_i20_20260504_011254,kc,hybrid,27,2,120,20,194.60,4795.0919,7.569272e+09,3.576279e-07,PASS,yes,yes,no,no,no,node217,mlx5_0,27,2
baseline_hybrid_np27_t3_s120_i20_20260504_003533,baseline,hybrid,27,3,120,20,4.1e+02,2264.3365,7.569272e+09,3.576279e-07,PASS,yes,yes,no,no,no,node60,mlx5_0,27,3
kc_hybrid_np27_t3_s120_i20_20260504_003533,kc,hybrid,27,3,120,20,126.33,7386.248,7.569272e+09,3.576279e-07,PASS,yes,yes,no,no,no,node217,mlx5_0,27,3
baseline_hybrid_np8_t1_s120_i20_20260504_004302,baseline,hybrid,8,1,120,20,78,3552.8888,2.242747e+09,2.980232e-08,PASS,yes,yes,no,no,no,node60,mlx5_0,8,1
kc_hybrid_np8_t1_s120_i20_20260504_004302,kc,hybrid,8,1,120,20,68.60,4030.3221,2.242747e+09,2.086163e-07,PASS,yes,yes,no,no,no,node60,mlx5_0,8,1
baseline_hybrid_np8_t12_s120_i20_20260504_003455,baseline,hybrid,8,12,120,20,21,13249,2.242747e+09,2.086163e-07,PASS,yes,yes,no,no,no,node60,mlx5_0,8,12
kc_hybrid_np8_t12_s120_i20_20260504_003455,kc,hybrid,8,12,120,20,15.06,18354.214,2.242747e+09,2.086163e-07,PASS,yes,yes,no,no,no,node217,mlx5_0,8,12
baseline_hybrid_np8_t2_s120_i20_20260504_004519,baseline,hybrid,8,2,120,20,2.4e+02,1149.2267,2.242747e+09,2.086163e-07,PASS,yes,yes,no,no,no,node60,mlx5_0,8,2
kc_hybrid_np8_t2_s120_i20_20260504_004519,kc,hybrid,8,2,120,20,82.32,3358.4782,2.242747e+09,2.086163e-07,PASS,yes,yes,no,no,no,node60,mlx5_0,8,2
baseline_hybrid_np8_t4_s120_i20_20260504_005008,baseline,hybrid,8,4,120,20,2e+02,1371.9805,2.242747e+09,2.086163e-07,PASS,yes,yes,no,no,no,node60,mlx5_0,8,4
kc_hybrid_np8_t4_s120_i20_20260504_005008,kc,hybrid,8,4,120,20,40.90,6759.7382,2.242747e+09,2.086163e-07,PASS,yes,yes,no,no,no,node60,mlx5_0,8,4
baseline_hybrid_np8_t8_s120_i20_20260504_005347,baseline,hybrid,8,8,120,20,30,9279.8813,2.242747e+09,2.086163e-07,PASS,yes,yes,no,no,no,node60,mlx5_0,8,8
kc_hybrid_np8_t8_s120_i20_20260504_005347,kc,hybrid,8,8,120,20,20.79,13296.787,2.242747e+09,2.086163e-07,PASS,yes,yes,no,no,no,node217,mlx5_0,8,8
baseline_hybrid_np1_t96_s80_i20_20260503_235054,baseline,hybrid,1,96,80,20,13,812.41657,8.306471e+07,2.793968e-09,PASS,yes,yes,no,no,no,node59,mlx5_0,1,96
kc_hybrid_np1_t96_s80_i20_20260503_235054,kc,hybrid,1,96,80,20,6.24,1641.3502,8.306471e+07,2.793968e-09,PASS,yes,yes,no,no,no,node60,mlx5_0,1,96
baseline_hybrid_np27_t2_s80_i20_20260504_002854,baseline,hybrid,27,2,80,20,1.8e+02,1576.7174,2.242747e+09,2.086163e-07,PASS,yes,yes,no,no,no,node60,mlx5_0,27,2
kc_hybrid_np27_t2_s80_i20_20260504_002854,kc,hybrid,27,2,80,20,93.89,2944.7858,2.242747e+09,2.086163e-07,PASS,yes,yes,no,no,no,node217,mlx5_0,27,2
baseline_hybrid_np27_t3_s80_i20_20260504_001658,baseline,hybrid,27,3,80,20,2.7e+02,1035.9518,2.242747e+09,2.086163e-07,PASS,yes,yes,no,no,no,node60,mlx5_0,27,3
kc_hybrid_np27_t3_s80_i20_20260504_001658,kc,hybrid,27,3,80,20,76.65,3606.9872,2.242747e+09,2.086163e-07,PASS,yes,yes,no,no,no,node217,mlx5_0,27,3
baseline_hybrid_np8_t1_s80_i20_20260504_002247,baseline,hybrid,8,1,80,20,23,3590.3885,6.645177e+08,1.490116e-08,PASS,yes,yes,no,no,no,node60,mlx5_0,8,1
kc_hybrid_np8_t1_s80_i20_20260504_002247,kc,hybrid,8,1,80,20,19.95,4105.4514,6.645177e+08,7.450581e-09,PASS,yes,yes,no,no,no,node60,mlx5_0,8,1
baseline_hybrid_np8_t12_s80_i20_20260503_235814,baseline,hybrid,8,12,80,20,2.8,29534.171,6.645177e+08,7.450581e-09,PASS,yes,yes,no,no,no,node53,mlx5_0,8,12
kc_hybrid_np8_t12_s80_i20_20260503_235814,kc,hybrid,8,12,80,20,6.61,12401.394,6.645177e+08,7.450581e-09,PASS,yes,yes,no,no,no,node202,mlx5_0,8,12
baseline_hybrid_np8_t2_s80_i20_20260504_002404,baseline,hybrid,8,2,80,20,95,866.34809,6.645177e+08,7.450581e-09,PASS,yes,yes,no,no,no,node60,mlx5_0,8,2
kc_hybrid_np8_t2_s80_i20_20260504_002404,kc,hybrid,8,2,80,20,31.53,2597.9255,6.645177e+08,7.450581e-09,PASS,yes,yes,no,no,no,node60,mlx5_0,8,2
baseline_hybrid_np8_t4_s80_i20_20260504_002600,baseline,hybrid,8,4,80,20,54,1529.0942,6.645177e+08,7.450581e-09,PASS,yes,yes,no,no,no,node60,mlx5_0,8,4
kc_hybrid_np8_t4_s80_i20_20260504_002600,kc,hybrid,8,4,80,20,17.14,4779.7488,6.645177e+08,7.450581e-09,PASS,yes,yes,no,no,no,node60,mlx5_0,8,4
baseline_hybrid_np8_t8_s80_i20_20260504_002712,baseline,hybrid,8,8,80,20,12,6850.6884,6.645177e+08,7.450581e-09,PASS,yes,yes,no,no,no,node60,mlx5_0,8,8
kc_hybrid_np8_t8_s80_i20_20260504_002712,kc,hybrid,8,8,80,20,9.85,8320.9506,6.645177e+08,7.450581e-09,PASS,yes,yes,no,no,no,node217,mlx5_0,8,8
