case_id,version,section,scaling_mode,node_count,ranks_per_node,mpi_ranks,omp_threads,base_size,size,iters,elapsed_s,fom,energy,max_abs_diff,status,run_completed,warn_openfabrics,warn_ucx,warn_pmix,warn_orte,local_host,local_device,num_processors_seen,num_threads_seen,slurm_nodelist
baseline_stage4_weak_n8_np64_rpn8_t12_s80_b80_i20_20260506_211819,baseline,stage4,weak,8,8,64,12,80,80,20,2.3,288901.46,5.316142e+09,3.576279e-07,PASS,yes,yes,yes,no,no,node203,mlx5_0,64,12,"node[143,150,203-206,212,215]"
kc_stage4_weak_n8_np64_rpn8_t12_s80_b80_i20_20260506_212113,kc,stage4,weak,8,8,64,12,80,80,20,1.72,381089.5,5.316142e+09,3.576279e-07,PASS,yes,yes,yes,no,no,node143,mlx5_0,64,12,"node[82,143,150,203-206,208]"
baseline_stage4_weak_n8_np64_rpn8_t12_s120_b120_i20_20260506_212616,baseline,stage4,weak,8,8,64,12,120,120,20,7.1,312380.85,1.794198e+10,7.152557e-07,PASS,yes,yes,yes,no,no,node150,mlx5_0,64,12,"node[143,150,203-206,212,215]"
kc_stage4_weak_n8_np64_rpn8_t12_s120_b120_i20_20260506_212624,kc,stage4,weak,8,8,64,12,120,120,20,5.17,427627.26,1.794198e+10,7.152557e-07,PASS,yes,yes,yes,no,no,node143,mlx5_0,64,12,"node[143,150,203-206,212,215]"
baseline_stage4_weak_n8_np64_rpn8_t12_s160_b160_i20_20260507_003854,baseline,stage4,weak,8,8,64,12,160,160,20,16,321789.29,4.252913e+10,2.384186e-06,PASS,yes,yes,yes,no,no,node207,mlx5_0,64,12,"node[154,157,203-208]"
kc_stage4_weak_n8_np64_rpn8_t12_s160_b160_i20_20260507_003946,kc,stage4,weak,8,8,64,12,160,160,20,11.45,457709.73,4.252913e+10,2.384186e-06,PASS,yes,yes,yes,no,no,node154,mlx5_0,64,12,"node[154,157,203-208]"
baseline_stage4_strong_n8_np64_rpn8_t12_s60_b120_i20_20260506_212637,baseline,stage4,strong,8,8,64,12,120,60,20,0.81,342020.19,2.242747e+09,2.086163e-07,PASS,yes,yes,yes,no,no,node143,mlx5_0,64,12,"node[143,150,203-206,212,215]"
kc_stage4_strong_n8_np64_rpn8_t12_s60_b120_i20_20260506_212647,kc,stage4,strong,8,8,64,12,120,60,20,0.50,548285.32,2.242747e+09,2.086163e-07,PASS,yes,yes,yes,no,no,node150,mlx5_0,64,12,"node[143,150,203-206,212,215]"
baseline_stage4_strong_n8_np64_rpn8_t12_s80_b160_i20_20260507_004226,baseline,stage4,strong,8,8,64,12,160,80,20,2.2,295017.79,5.316142e+09,3.576279e-07,PASS,yes,yes,yes,no,no,node157,mlx5_0,64,12,"node[154,157,203-208]"
kc_stage4_strong_n8_np64_rpn8_t12_s80_b160_i20_20260507_004233,kc,stage4,strong,8,8,64,12,160,80,20,1.66,394064.26,5.316142e+09,3.576279e-07,PASS,yes,yes,yes,no,no,node24,mlx5_0,64,12,"node[24,54,126,128,144,150,214-215]"
baseline_stage4_strong_n8_np64_rpn8_t12_s120_b240_i20_20260507_004239,baseline,stage4,strong,8,8,64,12,240,120,20,7.2,307870.91,1.794198e+10,7.152557e-07,PASS,yes,yes,yes,no,no,node154,mlx5_0,64,12,"node[154,157,203-208]"
kc_stage4_strong_n8_np64_rpn8_t12_s120_b240_i20_20260507_004244,kc,stage4,strong,8,8,64,12,240,120,20,5.09,434349.82,1.794198e+10,7.152557e-07,PASS,yes,yes,yes,no,no,node144,mlx5_0,64,12,"node[24,54,126,128,144,150,214-215]"
