case_id,version,section,scaling_mode,node_count,ranks_per_node,mpi_ranks,omp_threads,base_size,size,iters,elapsed_s,fom,energy,max_abs_diff,status,run_completed,warn_openfabrics,warn_ucx,warn_pmix,warn_orte,local_host,local_device,num_processors_seen,num_threads_seen,batch_host,slurm_job_id,slurm_nodelist,launch_command,report_dir,metrics_path,log_path,slurm_out_path,slurm_err_path,manifest_path
baseline_stage4_weak_n8_np64_rpn8_t12_s80_b80_i20_20260506_211819,baseline,stage4,weak,8,8,64,12,80,80,20,2.3,288901.46,5.316142e+09,3.576279e-07,PASS,yes,yes,yes,no,no,node203,mlx5_0,64,12,node143.prod.phadcloud.local,649341,"node[143,150,203-206,212,215]",mpirun -np 64 --map-by ppr:8:node:PE=12 --bind-to core /phadcloud/home/phadcloud65np17907/build-lulesh-baseline/lulesh2.0 -s 80 -i 20,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modeweak-bases80-i20-nodes8-pernode8x12-20260506_211819,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modeweak-bases80-i20-nodes8-pernode8x12-20260506_211819/baseline_stage4_weak_n8_np64_rpn8_t12_s80_b80_i20_20260506_211819.metrics.csv,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modeweak-bases80-i20-nodes8-pernode8x12-20260506_211819/baseline_stage4_weak_n8_np64_rpn8_t12_s80_b80_i20_20260506_211819.log,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modeweak-bases80-i20-nodes8-pernode8x12-20260506_211819/baseline_stage4_weak_n8_np64_rpn8_t12_s80_b80_i20_20260506_211819.slurm.out,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modeweak-bases80-i20-nodes8-pernode8x12-20260506_211819/baseline_stage4_weak_n8_np64_rpn8_t12_s80_b80_i20_20260506_211819.slurm.err,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modeweak-bases80-i20-nodes8-pernode8x12-20260506_211819/manifest.csv
kc_stage4_weak_n8_np64_rpn8_t12_s80_b80_i20_20260506_212113,kc,stage4,weak,8,8,64,12,80,80,20,1.72,381089.5,5.316142e+09,3.576279e-07,PASS,yes,yes,yes,no,no,node143,mlx5_0,64,12,node82.prod.phadcloud.local,649350,"node[82,143,150,203-206,208]",mpirun -np 64 --map-by ppr:8:node:PE=12 --bind-to core /phadcloud/home/phadcloud65np17907/build-cluster-kc/lulesh2.0 -s 80 -i 20,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modeweak-bases80-i20-nodes8-pernode8x12-20260506_212113,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modeweak-bases80-i20-nodes8-pernode8x12-20260506_212113/kc_stage4_weak_n8_np64_rpn8_t12_s80_b80_i20_20260506_212113.metrics.csv,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modeweak-bases80-i20-nodes8-pernode8x12-20260506_212113/kc_stage4_weak_n8_np64_rpn8_t12_s80_b80_i20_20260506_212113.log,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modeweak-bases80-i20-nodes8-pernode8x12-20260506_212113/kc_stage4_weak_n8_np64_rpn8_t12_s80_b80_i20_20260506_212113.slurm.out,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modeweak-bases80-i20-nodes8-pernode8x12-20260506_212113/kc_stage4_weak_n8_np64_rpn8_t12_s80_b80_i20_20260506_212113.slurm.err,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modeweak-bases80-i20-nodes8-pernode8x12-20260506_212113/manifest.csv
baseline_stage4_weak_n8_np64_rpn8_t12_s120_b120_i20_20260506_212616,baseline,stage4,weak,8,8,64,12,120,120,20,7.1,312380.85,1.794198e+10,7.152557e-07,PASS,yes,yes,yes,no,no,node150,mlx5_0,64,12,node143.prod.phadcloud.local,649364,"node[143,150,203-206,212,215]",mpirun -np 64 --map-by ppr:8:node:PE=12 --bind-to core /phadcloud/home/phadcloud65np17907/build-lulesh-baseline/lulesh2.0 -s 120 -i 20,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modeweak-bases120-i20-nodes8-pernode8x12-20260506_212616,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modeweak-bases120-i20-nodes8-pernode8x12-20260506_212616/baseline_stage4_weak_n8_np64_rpn8_t12_s120_b120_i20_20260506_212616.metrics.csv,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modeweak-bases120-i20-nodes8-pernode8x12-20260506_212616/baseline_stage4_weak_n8_np64_rpn8_t12_s120_b120_i20_20260506_212616.log,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modeweak-bases120-i20-nodes8-pernode8x12-20260506_212616/baseline_stage4_weak_n8_np64_rpn8_t12_s120_b120_i20_20260506_212616.slurm.out,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modeweak-bases120-i20-nodes8-pernode8x12-20260506_212616/baseline_stage4_weak_n8_np64_rpn8_t12_s120_b120_i20_20260506_212616.slurm.err,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modeweak-bases120-i20-nodes8-pernode8x12-20260506_212616/manifest.csv
kc_stage4_weak_n8_np64_rpn8_t12_s120_b120_i20_20260506_212624,kc,stage4,weak,8,8,64,12,120,120,20,5.17,427627.26,1.794198e+10,7.152557e-07,PASS,yes,yes,yes,no,no,node143,mlx5_0,64,12,node143.prod.phadcloud.local,649365,"node[143,150,203-206,212,215]",mpirun -np 64 --map-by ppr:8:node:PE=12 --bind-to core /phadcloud/home/phadcloud65np17907/build-cluster-kc/lulesh2.0 -s 120 -i 20,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modeweak-bases120-i20-nodes8-pernode8x12-20260506_212624,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modeweak-bases120-i20-nodes8-pernode8x12-20260506_212624/kc_stage4_weak_n8_np64_rpn8_t12_s120_b120_i20_20260506_212624.metrics.csv,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modeweak-bases120-i20-nodes8-pernode8x12-20260506_212624/kc_stage4_weak_n8_np64_rpn8_t12_s120_b120_i20_20260506_212624.log,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modeweak-bases120-i20-nodes8-pernode8x12-20260506_212624/kc_stage4_weak_n8_np64_rpn8_t12_s120_b120_i20_20260506_212624.slurm.out,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modeweak-bases120-i20-nodes8-pernode8x12-20260506_212624/kc_stage4_weak_n8_np64_rpn8_t12_s120_b120_i20_20260506_212624.slurm.err,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modeweak-bases120-i20-nodes8-pernode8x12-20260506_212624/manifest.csv
baseline_stage4_weak_n8_np64_rpn8_t12_s160_b160_i20_20260507_003854,baseline,stage4,weak,8,8,64,12,160,160,20,16,321789.29,4.252913e+10,2.384186e-06,PASS,yes,yes,yes,no,no,node207,mlx5_0,64,12,node154.prod.phadcloud.local,649609,"node[154,157,203-208]",mpirun -np 64 --map-by ppr:8:node:PE=12 --bind-to core /phadcloud/home/phadcloud65np17907/build-lulesh-baseline/lulesh2.0 -s 160 -i 20,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modeweak-bases160-i20-nodes8-pernode8x12-20260507_003854,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modeweak-bases160-i20-nodes8-pernode8x12-20260507_003854/baseline_stage4_weak_n8_np64_rpn8_t12_s160_b160_i20_20260507_003854.metrics.csv,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modeweak-bases160-i20-nodes8-pernode8x12-20260507_003854/baseline_stage4_weak_n8_np64_rpn8_t12_s160_b160_i20_20260507_003854.log,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modeweak-bases160-i20-nodes8-pernode8x12-20260507_003854/baseline_stage4_weak_n8_np64_rpn8_t12_s160_b160_i20_20260507_003854.slurm.out,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modeweak-bases160-i20-nodes8-pernode8x12-20260507_003854/baseline_stage4_weak_n8_np64_rpn8_t12_s160_b160_i20_20260507_003854.slurm.err,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modeweak-bases160-i20-nodes8-pernode8x12-20260507_003854/manifest.csv
kc_stage4_weak_n8_np64_rpn8_t12_s160_b160_i20_20260507_003946,kc,stage4,weak,8,8,64,12,160,160,20,11.45,457709.73,4.252913e+10,2.384186e-06,PASS,yes,yes,yes,no,no,node154,mlx5_0,64,12,node154.prod.phadcloud.local,649612,"node[154,157,203-208]",mpirun -np 64 --map-by ppr:8:node:PE=12 --bind-to core /phadcloud/home/phadcloud65np17907/build-cluster-kc/lulesh2.0 -s 160 -i 20,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modeweak-bases160-i20-nodes8-pernode8x12-20260507_003946,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modeweak-bases160-i20-nodes8-pernode8x12-20260507_003946/kc_stage4_weak_n8_np64_rpn8_t12_s160_b160_i20_20260507_003946.metrics.csv,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modeweak-bases160-i20-nodes8-pernode8x12-20260507_003946/kc_stage4_weak_n8_np64_rpn8_t12_s160_b160_i20_20260507_003946.log,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modeweak-bases160-i20-nodes8-pernode8x12-20260507_003946/kc_stage4_weak_n8_np64_rpn8_t12_s160_b160_i20_20260507_003946.slurm.out,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modeweak-bases160-i20-nodes8-pernode8x12-20260507_003946/kc_stage4_weak_n8_np64_rpn8_t12_s160_b160_i20_20260507_003946.slurm.err,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modeweak-bases160-i20-nodes8-pernode8x12-20260507_003946/manifest.csv
baseline_stage4_strong_n8_np64_rpn8_t12_s60_b120_i20_20260506_212637,baseline,stage4,strong,8,8,64,12,120,60,20,0.81,342020.19,2.242747e+09,2.086163e-07,PASS,yes,yes,yes,no,no,node143,mlx5_0,64,12,node143.prod.phadcloud.local,649366,"node[143,150,203-206,212,215]",mpirun -np 64 --map-by ppr:8:node:PE=12 --bind-to core /phadcloud/home/phadcloud65np17907/build-lulesh-baseline/lulesh2.0 -s 60 -i 20,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modestrong-bases120-i20-nodes8-pernode8x12-20260506_212637,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modestrong-bases120-i20-nodes8-pernode8x12-20260506_212637/baseline_stage4_strong_n8_np64_rpn8_t12_s60_b120_i20_20260506_212637.metrics.csv,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modestrong-bases120-i20-nodes8-pernode8x12-20260506_212637/baseline_stage4_strong_n8_np64_rpn8_t12_s60_b120_i20_20260506_212637.log,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modestrong-bases120-i20-nodes8-pernode8x12-20260506_212637/baseline_stage4_strong_n8_np64_rpn8_t12_s60_b120_i20_20260506_212637.slurm.out,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modestrong-bases120-i20-nodes8-pernode8x12-20260506_212637/baseline_stage4_strong_n8_np64_rpn8_t12_s60_b120_i20_20260506_212637.slurm.err,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modestrong-bases120-i20-nodes8-pernode8x12-20260506_212637/manifest.csv
kc_stage4_strong_n8_np64_rpn8_t12_s60_b120_i20_20260506_212647,kc,stage4,strong,8,8,64,12,120,60,20,0.50,548285.32,2.242747e+09,2.086163e-07,PASS,yes,yes,yes,no,no,node150,mlx5_0,64,12,node143.prod.phadcloud.local,649367,"node[143,150,203-206,212,215]",mpirun -np 64 --map-by ppr:8:node:PE=12 --bind-to core /phadcloud/home/phadcloud65np17907/build-cluster-kc/lulesh2.0 -s 60 -i 20,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modestrong-bases120-i20-nodes8-pernode8x12-20260506_212647,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modestrong-bases120-i20-nodes8-pernode8x12-20260506_212647/kc_stage4_strong_n8_np64_rpn8_t12_s60_b120_i20_20260506_212647.metrics.csv,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modestrong-bases120-i20-nodes8-pernode8x12-20260506_212647/kc_stage4_strong_n8_np64_rpn8_t12_s60_b120_i20_20260506_212647.log,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modestrong-bases120-i20-nodes8-pernode8x12-20260506_212647/kc_stage4_strong_n8_np64_rpn8_t12_s60_b120_i20_20260506_212647.slurm.out,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modestrong-bases120-i20-nodes8-pernode8x12-20260506_212647/kc_stage4_strong_n8_np64_rpn8_t12_s60_b120_i20_20260506_212647.slurm.err,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modestrong-bases120-i20-nodes8-pernode8x12-20260506_212647/manifest.csv
baseline_stage4_strong_n8_np64_rpn8_t12_s80_b160_i20_20260507_004226,baseline,stage4,strong,8,8,64,12,160,80,20,2.2,295017.79,5.316142e+09,3.576279e-07,PASS,yes,yes,yes,no,no,node157,mlx5_0,64,12,node154.prod.phadcloud.local,649613,"node[154,157,203-208]",mpirun -np 64 --map-by ppr:8:node:PE=12 --bind-to core /phadcloud/home/phadcloud65np17907/build-lulesh-baseline/lulesh2.0 -s 80 -i 20,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modestrong-bases160-i20-nodes8-pernode8x12-20260507_004226,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modestrong-bases160-i20-nodes8-pernode8x12-20260507_004226/baseline_stage4_strong_n8_np64_rpn8_t12_s80_b160_i20_20260507_004226.metrics.csv,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modestrong-bases160-i20-nodes8-pernode8x12-20260507_004226/baseline_stage4_strong_n8_np64_rpn8_t12_s80_b160_i20_20260507_004226.log,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modestrong-bases160-i20-nodes8-pernode8x12-20260507_004226/baseline_stage4_strong_n8_np64_rpn8_t12_s80_b160_i20_20260507_004226.slurm.out,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modestrong-bases160-i20-nodes8-pernode8x12-20260507_004226/baseline_stage4_strong_n8_np64_rpn8_t12_s80_b160_i20_20260507_004226.slurm.err,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verbaseline-modestrong-bases160-i20-nodes8-pernode8x12-20260507_004226/manifest.csv
kc_stage4_strong_n8_np64_rpn8_t12_s80_b160_i20_20260507_004233,kc,stage4,strong,8,8,64,12,160,80,20,1.66,394064.26,5.316142e+09,3.576279e-07,PASS,yes,yes,yes,no,no,node24,mlx5_0,64,12,node24.prod.phadcloud.local,649614,"node[24,54,126,128,144,150,214-215]",mpirun -np 64 --map-by ppr:8:node:PE=12 --bind-to core /phadcloud/home/phadcloud65np17907/build-cluster-kc/lulesh2.0 -s 80 -i 20,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modestrong-bases160-i20-nodes8-pernode8x12-20260507_004233,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modestrong-bases160-i20-nodes8-pernode8x12-20260507_004233/kc_stage4_strong_n8_np64_rpn8_t12_s80_b160_i20_20260507_004233.metrics.csv,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modestrong-bases160-i20-nodes8-pernode8x12-20260507_004233/kc_stage4_strong_n8_np64_rpn8_t12_s80_b160_i20_20260507_004233.log,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modestrong-bases160-i20-nodes8-pernode8x12-20260507_004233/kc_stage4_strong_n8_np64_rpn8_t12_s80_b160_i20_20260507_004233.slurm.out,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modestrong-bases160-i20-nodes8-pernode8x12-20260507_004233/kc_stage4_strong_n8_np64_rpn8_t12_s80_b160_i20_20260507_004233.slurm.err,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage4/stage4-cluster-verkc-modestrong-bases160-i20-nodes8-pernode8x12-20260507_004233/manifest.csv
