Version,Size,Threads,Mean_Time,Speedup,Parallel_Efficiency
OpenMP,30,1,1.1,1.0,1.0
OpenMP,30,2,0.805,1.3665,0.6832
OpenMP,30,4,0.499,2.2044,0.5511
OpenMP,30,8,0.366,3.0055,0.3757
OpenMP,30,16,0.415,2.6506,0.1657
OpenMP,30,32,0.568,1.9366,0.0605
OpenMP,45,1,3.82,1.0,1.0
OpenMP,45,2,2.71,1.4096,0.7048
OpenMP,45,4,1.72,2.2209,0.5552
OpenMP,45,8,1.3,2.9385,0.3673
OpenMP,45,16,1.2,3.1833,0.199
OpenMP,45,32,1.41,2.7092,0.0847
OpenMP,60,1,8.97,1.0,1.0
OpenMP,60,2,6.56,1.3674,0.6837
OpenMP,60,4,4.3,2.086,0.5215
OpenMP,60,8,3.47,2.585,0.3231
OpenMP,60,16,3.28,2.7348,0.1709
OpenMP,60,32,3.62,2.4779,0.0774
OpenMP,90,1,35.7,1.0,1.0
OpenMP,90,2,25.9,1.3784,0.6892
OpenMP,90,4,17.0,2.1,0.525
OpenMP,90,8,13.0,2.7462,0.3433
OpenMP,90,16,13.0,2.7462,0.1716
OpenMP,90,32,14.0,2.55,0.0797
Kokkos-OpenMP,30,1,1.059,1.0,1.0
Kokkos-OpenMP,30,2,0.738,1.435,0.7175
Kokkos-OpenMP,30,4,0.405,2.6148,0.6537
Kokkos-OpenMP,30,8,0.247,4.2874,0.5359
Kokkos-OpenMP,30,16,0.24,4.4125,0.2758
Kokkos-OpenMP,30,32,0.301,3.5183,0.1099
Kokkos-OpenMP,45,1,4.503,1.0,1.0
Kokkos-OpenMP,45,2,2.518,1.7883,0.8942
Kokkos-OpenMP,45,4,1.438,3.1314,0.7829
Kokkos-OpenMP,45,8,0.924,4.8734,0.6092
Kokkos-OpenMP,45,16,0.719,6.2629,0.3914
Kokkos-OpenMP,45,32,0.878,5.1287,0.1603
Kokkos-OpenMP,60,1,10.56,1.0,1.0
Kokkos-OpenMP,60,2,6.25,1.6896,0.8448
Kokkos-OpenMP,60,4,3.689,2.8626,0.7156
Kokkos-OpenMP,60,8,2.595,4.0694,0.5087
Kokkos-OpenMP,60,16,2.053,5.1437,0.3215
Kokkos-OpenMP,60,32,2.428,4.3493,0.1359
Kokkos-OpenMP,90,1,38.024,1.0,1.0
Kokkos-OpenMP,90,2,20.727,1.8345,0.9173
Kokkos-OpenMP,90,4,12.454,3.0532,0.7633
Kokkos-OpenMP,90,8,9.031,4.2104,0.5263
Kokkos-OpenMP,90,16,7.934,4.7925,0.2995
Kokkos-OpenMP,90,32,9.219,4.1245,0.1289
