Version,Size,Threads,Run,FOM,Time
OpenMP,30,1,1,2392.237,1.1
OpenMP,30,1,2,2384.6099,1.1
OpenMP,30,1,3,2361.1707,1.1
OpenMP,30,1,4,2371.1347,1.1
OpenMP,30,1,5,2378.1782,1.1
OpenMP,30,1,6,2392.3443,1.1
OpenMP,30,1,7,2382.4009,1.1
OpenMP,30,1,8,2395.1877,1.1
OpenMP,30,1,9,2392.9409,1.1
OpenMP,30,1,10,2393.7356,1.1
OpenMP,30,2,1,3376.1646,0.8
OpenMP,30,2,2,3366.5571,0.8
OpenMP,30,2,3,3362.0518,0.8
OpenMP,30,2,4,3389.2251,0.8
OpenMP,30,2,5,3418.8757,0.79
OpenMP,30,2,6,3368.6687,0.8
OpenMP,30,2,7,3359.2153,0.8
OpenMP,30,2,8,3372.7917,0.8
OpenMP,30,2,9,3339.1122,0.81
OpenMP,30,2,10,3397.6647,0.79
OpenMP,30,4,1,5497.0449,0.49
OpenMP,30,4,2,5561.6519,0.49
OpenMP,30,4,3,5486.5146,0.49
OpenMP,30,4,4,5444.5098,0.5
OpenMP,30,4,5,5500.5539,0.49
OpenMP,30,4,6,5603.9592,0.48
OpenMP,30,4,7,5497.8874,0.49
OpenMP,30,4,8,5559.007,0.49
OpenMP,30,4,9,5567.3538,0.48
OpenMP,30,4,10,5435.5997,0.5
OpenMP,30,8,1,7356.8786,0.37
OpenMP,30,8,2,7353.4634,0.37
OpenMP,30,8,3,7454.8846,0.36
OpenMP,30,8,4,7377.0598,0.37
OpenMP,30,8,5,7970.3372,0.34
OpenMP,30,8,6,7941.5824,0.34
OpenMP,30,8,7,7782.851,0.35
OpenMP,30,8,8,7755.8059,0.35
OpenMP,30,8,9,7702.4043,0.35
OpenMP,30,8,10,7632.0118,0.35
OpenMP,30,16,1,6764.8032,0.4
OpenMP,30,16,2,6561.9059,0.41
OpenMP,30,16,3,6742.3149,0.4
OpenMP,30,16,4,6532.2119,0.41
OpenMP,30,16,5,6591.4408,0.41
OpenMP,30,16,6,6428.8729,0.42
OpenMP,30,16,7,6629.7348,0.41
OpenMP,30,16,8,6624.2297,0.41
OpenMP,30,16,9,6672.5075,0.4
OpenMP,30,16,10,6151.5988,0.44
OpenMP,30,32,1,5035.7985,0.54
OpenMP,30,32,2,4846.2392,0.56
OpenMP,30,32,3,4635.4261,0.58
OpenMP,30,32,4,4831.2257,0.56
OpenMP,30,32,5,4883.6803,0.55
OpenMP,30,32,6,4874.9596,0.55
OpenMP,30,32,7,4866.2166,0.55
OpenMP,30,32,8,4867.8364,0.55
OpenMP,30,32,9,4887.2285,0.55
OpenMP,30,32,10,4476.9699,0.6
OpenMP,45,1,1,2395.6656,3.8
OpenMP,45,1,2,2384.4937,3.8
OpenMP,45,1,3,2399.2253,3.8
OpenMP,45,1,4,2401.4729,3.8
OpenMP,45,1,5,2400.005,3.8
OpenMP,45,1,6,2420.2898,3.8
OpenMP,45,1,7,2396.9415,3.8
OpenMP,45,1,8,2416.9724,3.8
OpenMP,45,1,9,2414.6054,3.8
OpenMP,45,1,10,2415.1829,3.8
OpenMP,45,2,1,3372.7495,2.7
OpenMP,45,2,2,3347.387,2.7
OpenMP,45,2,3,3371.0133,2.7
OpenMP,45,2,4,3355.5016,2.7
OpenMP,45,2,5,3363.9237,2.7
OpenMP,45,2,6,3359.8148,2.7
OpenMP,45,2,7,3357.9061,2.7
OpenMP,45,2,8,3375.0719,2.7
OpenMP,45,2,9,3352.3576,2.7
OpenMP,45,2,10,3357.1957,2.7
OpenMP,45,4,1,5253.6742,1.7
OpenMP,45,4,2,5298.7999,1.7
OpenMP,45,4,3,5229.2322,1.7
OpenMP,45,4,4,5233.0065,1.7
OpenMP,45,4,5,5211.4803,1.7
OpenMP,45,4,6,5192.1002,1.8
OpenMP,45,4,7,5161.2045,1.8
OpenMP,45,4,8,5170.4369,1.8
OpenMP,45,4,9,5180.7777,1.8
OpenMP,45,4,10,5304.6248,1.7
OpenMP,45,8,1,6953.066,1.3
OpenMP,45,8,2,6735.3939,1.4
OpenMP,45,8,3,6790.696,1.3
OpenMP,45,8,4,6691.0734,1.4
OpenMP,45,8,5,6556.6078,1.4
OpenMP,45,8,6,6759.8415,1.3
OpenMP,45,8,7,6608.6618,1.4
OpenMP,45,8,8,6666.6701,1.4
OpenMP,45,8,9,6642.7006,1.4
OpenMP,45,8,10,6675.8266,1.4
OpenMP,45,16,1,7535.9179,1.2
OpenMP,45,16,2,7070.1508,1.3
OpenMP,45,16,3,7208.6866,1.3
OpenMP,45,16,4,7393.3337,1.2
OpenMP,45,16,5,7311.7174,1.2
OpenMP,45,16,6,7476.223,1.2
OpenMP,45,16,7,7172.3008,1.3
OpenMP,45,16,8,7383.3228,1.2
OpenMP,45,16,9,7376.1381,1.2
