Version,Size,Threads,Mean_FOM,StdDev_FOM_%,Mean_Time,Min_Time,Max_Time,Median_Time,StdDev_Time
OpenMP,30,1,2384.39,0.48%,1.1,1.1,1.1,1.1,0.0
OpenMP,30,2,3375.03,0.66%,0.799,0.79,0.81,0.8,0.0057
OpenMP,30,4,5515.41,1.01%,0.49,0.48,0.5,0.49,0.0067
OpenMP,30,8,7632.73,3.10%,0.355,0.34,0.37,0.35,0.0118
OpenMP,30,16,6569.96,2.69%,0.411,0.4,0.44,0.41,0.012
OpenMP,30,32,4820.56,3.21%,0.559,0.54,0.6,0.55,0.0179
OpenMP,45,1,2404.49,0.48%,3.8,3.8,3.8,3.8,0.0
OpenMP,45,2,3361.29,0.27%,2.7,2.7,2.7,2.7,0.0
OpenMP,45,4,5223.53,0.97%,1.74,1.7,1.8,1.7,0.0516
OpenMP,45,8,6708.05,1.65%,1.37,1.3,1.4,1.4,0.0483
OpenMP,45,16,7318.56,1.95%,1.24,1.2,1.3,1.2,0.0516
OpenMP,45,32,6100.22,2.07%,1.49,1.4,1.5,1.5,0.0316
OpenMP,60,1,2401.95,0.77%,9.0,8.9,9.1,9.0,0.0943
OpenMP,60,2,3307.4,0.46%,6.54,6.5,6.6,6.5,0.0516
OpenMP,60,4,4990.37,0.46%,4.32,4.3,4.4,4.3,0.0422
OpenMP,60,8,6149.26,0.82%,3.51,3.5,3.6,3.5,0.0316
OpenMP,60,16,6514.23,0.88%,3.31,3.3,3.4,3.3,0.0316
OpenMP,60,32,5989.42,1.05%,3.6,3.5,3.7,3.6,0.0471
OpenMP,90,1,2044.97,0.60%,35.8,35.0,36.0,36.0,0.4216
OpenMP,90,2,2838.35,0.27%,26.0,26.0,26.0,26.0,0.0
OpenMP,90,4,4362.86,0.41%,17.0,17.0,17.0,17.0,0.0
OpenMP,90,8,5445.72,0.36%,13.0,13.0,13.0,13.0,0.0
OpenMP,90,16,5717.19,0.79%,13.0,13.0,13.0,13.0,0.0
OpenMP,90,32,5200.04,1.06%,14.0,14.0,14.0,14.0,0.0
Kokkos-OpenMP,30,1,2551.43,0.46%,1.059,1.05,1.07,1.06,0.0057
Kokkos-OpenMP,30,2,3675.45,0.93%,0.734,0.72,0.75,0.73,0.0084
Kokkos-OpenMP,30,4,6572.95,4.99%,0.411,0.4,0.47,0.4,0.0218
Kokkos-OpenMP,30,8,10745.93,1.66%,0.252,0.25,0.26,0.25,0.0042
Kokkos-OpenMP,30,16,10981.78,1.36%,0.247,0.24,0.25,0.25,0.0048
Kokkos-OpenMP,30,32,8302.42,12.72%,0.333,0.3,0.5,0.31,0.0602
Kokkos-OpenMP,45,1,2027.79,1.47%,4.495,4.41,4.64,4.475,0.0662
Kokkos-OpenMP,45,2,3623.04,0.52%,2.514,2.5,2.54,2.51,0.0117
Kokkos-OpenMP,45,4,6388.42,0.41%,1.427,1.42,1.44,1.43,0.0067
Kokkos-OpenMP,45,8,9970.79,0.68%,0.915,0.91,0.93,0.91,0.0071
Kokkos-OpenMP,45,16,12627.62,0.71%,0.721,0.71,0.73,0.72,0.0074
Kokkos-OpenMP,45,32,10330.77,2.80%,0.884,0.86,0.95,0.87,0.0272
Kokkos-OpenMP,60,1,2063.47,1.77%,10.471,10.25,10.69,10.495000000000001,0.1847
Kokkos-OpenMP,60,2,3501.77,0.58%,6.168,6.12,6.24,6.16,0.0371
Kokkos-OpenMP,60,4,5777.47,0.76%,3.737,3.71,3.79,3.72,0.0295
Kokkos-OpenMP,60,8,8229.7,0.63%,2.624,2.6,2.66,2.625,0.0165
Kokkos-OpenMP,60,16,10508.21,0.79%,2.055,2.02,2.08,2.0549999999999997,0.0172
Kokkos-OpenMP,60,32,9268.25,0.92%,2.331,2.29,2.36,2.33,0.0208
Kokkos-OpenMP,90,1,1971.73,1.83%,36.983,35.9,38.24,36.84,0.6799
Kokkos-OpenMP,90,2,3535.01,0.34%,20.624,20.53,20.72,20.615000000000002,0.07
Kokkos-OpenMP,90,4,5891.83,0.68%,12.373,12.28,12.53,12.344999999999999,0.0856
Kokkos-OpenMP,90,8,8113.79,0.61%,8.984,8.91,9.12,8.98,0.0552
Kokkos-OpenMP,90,16,9202.69,0.17%,7.922,7.9,7.95,7.92,0.0132
Kokkos-OpenMP,90,32,8006.62,0.69%,9.105,8.94,9.17,9.114999999999998,0.0633
